z,ra,dec,r,grModelColor
0.1159203,157.9945797,62.63407346,17.0425,1.00892067
0.1161119,130.882041,50.97921442,16.96607,0.98203468
0.1055112,133.8077191,54.07751904,16.67396,1.05307388
0.1076758,257.9735124,59.76819534,17.23804,0.87546349
0.1063212,256.8675232,60.77179669,17.45365,1.11722374
0.1030044,261.5646591,52.81224566,16.93906,0.82916832
0.1030978,196.8600283,64.45091974,17.05649,0.8365097
0.1183699,128.8349556,50.39198166,17.61284,1.10055161
0.114395,189.2457864,0.16799598,17.02607,1.03210258
0.1024686,220.505351,0.1031728,17.35947,0.89731789
0.1132598,186.3435833,-2.98733375,17.20242,0.61919022
0.1018769,187.1354399,63.93741711,16.771,0.78207779
0.1176676,160.981036,63.22433129,16.64131,0.87064934
0.1194147,129.4704867,50.10790405,17.31582,0.79701042
0.1144531,133.3993055,54.58860957,16.82191,0.8163662
0.1007565,137.2848363,56.54882989,16.37067,0.99587631
0.1019305,146.5546737,60.36282891,17.60881,1.05450058
0.1135698,256.433334,58.50034054,16.45477,1.05308723
0.1017595,256.25327,60.57335143,17.14999,0.9936142
0.1072111,258.5697808,59.8743918,17.40952,0.67939949
0.1027651,205.0165284,63.58463668,17.34468,0.91090965
0.1028918,205.094487,63.52728081,17.73909,0.43378639
0.1031478,136.3160471,55.09826575,17.53159,0.98930931
0.1187029,247.7293659,46.51500118,17.35406,0.82195473
0.1191732,226.3124524,0.92315043,17.21765,0.70792007
0.111385,184.6850778,-2.99381423,16.89086,1.12743568
0.1086395,177.8855495,-2.58004366,16.48176,0.68899155
0.1078938,180.5029328,-3.71686263,17.61532,0.8092308
0.1157349,157.7070185,62.61794948,17.44307,0.82436371
0.1163528,256.3876636,58.40962293,16.92704,0.83559608
0.1019578,258.2366401,58.42224631,16.65433,0.84379387
0.1179224,129.1181527,50.11540441,17.21713,1.0231781
0.1036308,136.4898551,56.45020048,17.62638,1.00931931
0.1163819,242.3623703,0.68675436,17.38638,1.02317429
0.1119119,176.5918641,-2.7837823,17.63371,0.71582031
0.1179429,131.96984,51.8606361,17.37746,0.99359322
0.1153345,134.6585122,55.07503749,17.08529,1.09183311
0.1105952,257.1012206,58.41724601,17.45159,0.5133419
0.1069902,257.8809292,59.91178526,17.42823,0.74353981
0.119328,141.6834473,56.15524962,17.70108,0.77782631
0.1192843,132.1193969,51.50843331,17.07554,0.89813042
0.117342,237.8254657,-0.28038269,17.45404,1.05508423
0.1120526,200.6782044,0.15303572,17.38687,1.01403046
0.1054146,219.3185859,0.17731619,16.09535,0.97210503
