z,ra,dec,r,grModelColor
0.4682648,170.2620443,-2.14035829,19.57189,1.9410553
0.4846029,164.3778958,-1.57152398,20.20361,1.88148117
0.47513,169.0876043,-1.63622394,19.79119,1.6150341
0.4675778,169.3952743,-1.59108808,20.08708,1.98300743
0.4236883,184.3600858,-1.40072999,18.91545,1.71279907
0.4154122,178.8095825,-3.66468873,19.30058,1.76518059
0.4464589,184.9302608,-2.0618505,20.40462,1.7823925
0.487349,189.9061792,-1.44073383,20.7803,1.78346825
0.4679633,125.473732,0.45141978,19.52246,1.88799667
0.458874,134.0854053,0.53196018,20.30312,1.62756538
0.4494308,146.3246121,0.53309932,19.92553,2.04382706
0.4630111,159.0919761,-2.95813325,19.17999,1.85356903
0.4566618,161.3913629,-3.06521376,20.22434,1.60146713
0.4616849,161.982216,-2.98589744,20.52284,0.93406677
0.4808257,162.2652079,-2.69852578,20.4395,1.54224777
0.4747784,163.5990763,-2.74290921,20.43043,1.55776215
0.4502443,164.6314062,-2.60769796,20.24741,1.90785217
0.4885088,162.4030928,-1.78271388,20.46668,1.77990341
0.4932,160.1134473,-1.34857121,19.95138,1.36869049
0.4445302,164.343366,-1.37917053,19.83298,1.45813179
0.4779822,188.2019113,64.9356295,20.1667,1.73666191
0.4186812,187.1986233,65.72029766,18.82839,1.78710747
0.4935993,129.4289741,49.38761557,20.68034,1.49638176
0.4732744,118.8214338,40.48454283,20.01681,1.69834328
0.4985261,127.8181758,48.81078976,19.52202,2.57665253
0.4048183,119.0594707,41.29311062,20.73958,1.38942719
0.45089,135.5033811,54.37697657,20.33569,1.87559128
0.4632856,115.3780035,37.76625331,20.4065,1.21519852
0.4713636,120.274397,44.06492767,20.2542,1.82995224
0.4980975,187.9827361,-0.83314316,20.10721,1.44369507
0.4082415,196.6106746,-0.76641354,18.63454,1.79662132
0.4097039,188.3239134,0.18304188,20.18778,1.61269569
0.4986592,210.1832568,0.15660663,21.0728,1.76957321
0.4858184,230.8337559,0.19948985,20.25151,1.78384018
0.4647536,131.556284,1.16153051,19.93135,1.67709541
