Time [s],Loss of capacity to negative SEI [A.h],Loss of capacity to positive SEI [A.h],Loss of capacity to positive SEI on cracks [A.h],Loss of capacity to positive lithium plating [A.h]
261655.13315107298,0.002728104548893289,0.0015655115690260115,0.002998376629951966,8.516540796262436e-05
261715.13315107298,0.002728663081652124,0.001565524484818324,0.0029984014945298766,8.521637615058327e-05
261775.13315107298,0.0027292216071951006,0.00156554136485639,0.0029984339907102825,8.52866847810463e-05
261835.13315107298,0.0027297801278015487,0.001565562969035891,0.00299847558162377,8.538915343293142e-05
261895.13315107298,0.0027303386556543963,0.0015655902975250467,0.0029985281921299867,8.554854145198327e-05
261955.13315107298,0.0027308971980309505,0.0015656260893263706,0.0029985970943326988,8.584460067209117e-05
261966.87139083756,0.002731006473926936,0.0015656345967805284,0.002998613471543601,8.59373299037111e-05
261966.8713908376,0.002731006473926936,0.0015656345967805284,0.002998613471543601,8.59373299037111e-05
262026.87139083756,0.002731692484993684,0.001565638653134604,0.0029986211464158967,8.511581833316981e-05
262086.87139083756,0.002732379528531352,0.0015656412765161498,0.0029986261100788604,8.511246040506945e-05
262146.8713908376,0.002733066610832742,0.0015656431513290138,0.002998629657336427,8.511102446370436e-05
262206.8713908376,0.0027337537199074577,0.0015656443632473763,0.0029986319503308083,8.511002811504759e-05
262266.8713908376,0.002734440821239554,0.0015656453120926218,0.0029986337455875727,8.510994480833765e-05
262326.8713908376,0.0027351279678282728,0.001565646018560283,0.0029986350822235643,8.510965824618633e-05
262386.8713908376,0.0027358151158047525,0.0015656464955780339,0.0029986359847407685,8.510955306529751e-05
262446.8713908376,0.0027365022759007467,0.0015656468041756891,0.002998636568604442,8.510949937104113e-05
262506.8713908376,0.0027371894348611333,0.0015656470076340938,0.002998636953545808,8.51094788619994e-05
262566.8713908376,0.0027378766023488967,0.0015656471408799924,0.0029986372056443568,8.510946877153032e-05
262626.8713908376,0.0027385637898311565,0.0015656472149368937,0.0029986373457568695,8.51094636268657e-05
262686.8713908376,0.002739250974078872,0.001565647244159609,0.002998637401045382,8.510946258592414e-05
262746.8713908376,0.0027399381546449036,0.0015656472581807692,0.0029986374275729043,8.510946237552363e-05
262806.8713908376,0.00274062534505011,0.0015656472617071766,0.002998637434244729,8.510946293766038e-05
262866.8713908376,0.0027413125329601726,0.0015656472624123105,0.0029986374355788128,8.510946249326584e-05
262926.8713908376,0.0027419997131430287,0.0015656472624793229,0.002998637435705598,8.510946234578934e-05
262986.8713908376,0.0027426868876747213,0.0015656472624873078,0.0029986374357207036,8.510946234578911e-05
262997.30885173887,0.002742806426749655,0.0015656472624876756,0.0029986374357214,8.510946234578868e-05
262997.3088517389,0.002742806426749655,0.0015656472624876756,0.0029986374357214,8.510946234578868e-05
263057.30885173887,0.002743364175563454,0.0015656472658198669,0.0029986374421363455,8.510946243402949e-05
263117.30885173887,0.002743922683585137,0.0015656473022886176,0.002998637512343652,8.510946561034185e-05
263177.30885173887,0.0027444811982296315,0.0015656474584468255,0.0029986378129738273,8.510948884622679e-05
263237.30885173887,0.002745039716392999,0.0015656477761876886,0.0029986384246629195,8.510959138237677e-05
263297.30885173887,0.002745598241348865,0.0015656485299818685,0.002998639875823405,8.511001367571834e-05
263357.30885173887,0.0027461567498521223,0.0015656497957750965,0.002998642312674456,8.511072147035713e-05
263417.30885173887,0.0027467152599838104,0.0015656516298170574,0.0029986458434785954,8.511199670927671e-05
263477.30885173887,0.00274727378245274,0.0015656542919053234,0.0029986509683354577,8.511494309754958e-05
263537.30885173887,0.002747832302573855,0.001565658207371509,0.00299865850616219,8.512045399901591e-05
263597.30885173887,0.002748390832616061,0.001565663781466867,0.002998669236954758,8.513217424131247e-05
263657.30885173887,0.002748949312003838,0.00156567096373896,0.0029986830643229166,8.514057727283891e-05
263717.30885173887,0.0027495078590455964,0.0015656798949478757,0.0029987002574554792,8.516653784697261e-05
263777.30885173887,0.002750066389177176,0.0015656928938270103,0.002998725282042342,8.521762309762345e-05
263837.30885173887,0.0027506249129696076,0.0015657098708752515,0.002998757965048374,8.528865332989446e-05
263897.30885173887,0.002751183431785302,0.0015657315842036628,0.0029987997661672034,8.539188789034908e-05
263957.30885173887,0.0027517419581033413,0.0015657590600582291,0.0029988526604643514,8.555311886616975e-05
