Throughput capacity [A.h],Loss of lithium inventory [%],Loss of active material in negative electrode [%],Loss of active material in positive electrode [%]
5.982986370465802,0.07390479360806523,0.00015691793304029034,1.852997371543097e-05
6.107986370465791,0.07463773887603509,0.00015691793304029034,2.1500604361790465e-05
6.232986370465813,0.07524239756972406,0.00015691793304029034,2.4588994008922782e-05
6.357986370465819,0.07674705025847572,0.00015691793304029034,2.780229461052386e-05
6.482986370465802,0.07981721783562534,0.00015691793304029034,3.1148227165544995e-05
6.607986370465787,0.08435432657547892,0.00015691793304029034,3.463517420243534e-05
6.732986370465806,0.0894990405974454,0.00015691793304029034,3.827224125529938e-05
6.857986370465771,0.0954553855427207,0.00015691793304029034,4.206934099215687e-05
6.9829863704657935,0.10220171564309055,0.00015691793304029034,4.6037545700983173e-05
7.107986370465815,0.10908255781845355,0.00015691793304029034,5.018821804014806e-05
7.232986370465854,0.11521423943429454,0.00015691793304029034,5.453442378211548e-05
7.357986370465824,0.1201948365012413,0.00015691793304029034,5.909035535012208e-05
7.482986370465812,0.12398303683986,0.00015691793304029034,6.387149716147178e-05
7.607986370465802,0.12660727893708668,0.00015691793304029034,6.889496057738143e-05
7.732986370465781,0.12872598547716052,0.00015691793304029034,7.417970354595127e-05
7.857986370465834,0.1303976981258188,0.00015691793304029034,7.97467469340063e-05
7.982986370465854,0.13222949364430292,0.00015691793304029034,8.561937708861933e-05
8.107986370465833,0.1352178793634664,0.00015691793304029034,9.182340312463566e-05
8.232986370465825,0.14032910965178758,0.00015691793304029034,9.838757142688337e-05
8.357986370465792,0.14865960325562355,0.00015691793304029034,0.0001053443212839511
8.48298637046573,0.1616133213721298,0.00015691793304029034,0.00011272934091266507
8.607986370465664,0.18406665684636891,0.00015691793304029034,0.0001205838702986739
8.732986370465621,0.21270830195147994,0.00015691793304029034,0.00012895424850967174
8.857986370465582,0.24077196494988584,0.00015691793304029034,0.00013789303335443037
8.982986370465595,0.2669464921890494,0.00015691793304029034,0.00014746013943067737
9.107986370465584,0.29065749837944566,0.00015691793304029034,0.00015772427417459767
9.232986370465577,0.3124051393534586,0.00015691793304029034,0.0001687669461745145
9.357986370465579,0.332297102110644,0.00015691793304029034,0.00018068067301157953
9.482986370465555,0.3512516741437821,0.00015691793304029034,0.00019357519070695162
9.60798637046555,0.3705191655718636,0.00015691793304029034,0.0002076060526690071
9.732986370465527,0.39106930752622304,0.00015691793304029034,0.00022287991197345036
9.85798637046552,0.41489409083820306,0.00015691793304029034,0.00023959050238886448
9.971167499967956,0.4407514339204255,0.00015691793304029034,0.000256111712872098
9.971167499967958,0.4407514339204113,0.00015691793304029034,0.000256111712872098
10.067673320130496,0.44624872166089347,0.00015691793304029034,0.0002682046692541462
10.122475362205432,0.41745041937619476,0.00015691793304029034,0.00027236349107795377
10.153540106770324,0.3756647114615248,0.00015691793304029034,0.0002737485635861958
10.171557839215543,0.3338685945886084,0.00015691793304029034,0.0002742228176941808
10.18185189116537,0.2980782713283787,0.0001569179330545012,0.00027437976764588257
10.188101928561098,0.26951998392407006,0.00015691828681951847,0.00027443750430222735
10.189937808282616,0.2599515415068083,0.0001569187927970006,0.0002744498115418992
10.189937808282616,0.2599515415068083,0.0001569187927970006,0.0002744498115418992
